ref,alias_refs,doc_type_code,name,category,grp,obligation,mode,sections,stream,archetype,silver_storage,refresh_cadence,source_system,notes,field_contract,table_name
D1.02,,FLIPKART_GTR,Flipkart GST Tax Report,D,D1,CONDITIONAL,BOTH,A9,C,2,STRUCTURED,PERIODIC,FLIPKART_SELLER_HUB,Field mapping differs from Amazon — held as operator configuration.,,platform_settlement_report
D1.03,,MARKETPLACE_SETTLEMENT_SSR,Seller Settlement Report,D,D1,CONDITIONAL,BOTH,A9,C,2,STRUCTURED,PERIODIC,MARKETPLACE_OPERATOR,Settlement cycle does not align with the GST monthly period.,,platform_settlement_report
D1.04,,MARKETPLACE_DISBURSEMENT_DRR,Disbursement / Remittance Report,D,D1,CONDITIONAL,BOTH,A9,C,2,STRUCTURED,PERIODIC,MARKETPLACE_OPERATOR,Bank receipts + TCS + fees must equal gross platform sales.,,platform_settlement_report
D1.05,,MARKETPLACE_RETURNS_VRET,VRET / CCOGS return report,D,D1,CONDITIONAL,BOTH,A9,C,2,STRUCTURED,PERIODIC,MARKETPLACE_OPERATOR,Every return must have a corresponding credit note.,,platform_settlement_report
D1.06,,FOOD_DELIVERY_PARTNER_REPORT,Swiggy / Zomato restaurant partner order report,D,D1,CONDITIONAL,BOTH,A9,C,2,STRUCTURED,PERIODIC,SWIGGY_ZOMATO,Post 01 Jan 2022 restaurant app sales are nil-rated. Circular 167/2021.,,platform_settlement_report
D1.07,,OTHER_MARKETPLACE_SETTLEMENT,Other marketplace settlement reports,D,D1,CONDITIONAL,BOTH,A9,C,2,STRUCTURED,PERIODIC,MARKETPLACE_OPERATOR,Meesho Myntra Nykaa Snapdeal. Field mapping as configuration.,,platform_settlement_report
D2.01,,FIRC,Foreign Inward Remittance Certificate,D,D2,CONDITIONAL,BOTH,A8,C,2,HYBRID,CONTINUOUS,AD_BANK,Bank-issued. Distinct from DGFT eBRC (B6.01). Register form is A5.14.,,
D2.02,,BRC,Bank Realisation Certificate — pre-eBRC,D,D2,CONDITIONAL,FORENSIC,A8,C,2,HYBRID,CONTINUOUS,AD_BANK,Forensic engagements covering pre-eBRC periods.,,
D3.01,,SEZ_BILL_OF_ENTRY,SEZ Bill of Entry — goods receipt at SEZ gate,D,D3,CONDITIONAL,BOTH,A8,C,1,HYBRID,CONTINUOUS,SEZ_UNIT_BUYER,Absence means goods did not enter the SEZ — zero-rating disqualified.,"direction=INWARD;counterparty=REQUIRED;doc=be_number:text!,be_date:date!,sez_unit_name:text",
D3.02,,SEZ_INTER_UNIT_PERMISSION,SEZ inter-unit supply permissions,D,D3,CONDITIONAL,BOTH,"A8,A7",C,3,HYBRID,ONE_TIME,DEV_COMMISSIONER,Without permission the supply may not qualify for zero-rated treatment.,,
D4.01,,MCA21_REGISTRY_DATA,MCA21 registry data — DIR-12 MGT-7,D,D4,CONDITIONAL,BOTH,"A6,A3",C,7,STRUCTURED,PERIODIC,MCA_PORTAL,Verifiable source for director history and shareholding pattern.,,
D4.02,,NCLT_ADMISSION_ORDER,NCLT admission order — IBC moratorium,D,D4,CONDITIONAL,BOTH,B2,C,6,HYBRID,PERIODIC,NCLT,Establishes moratorium date. 180-day payment rule exception.,,
D4.03,,IBC_RESOLUTION_PLAN,IBC resolution plan,D,D4,CONDITIONAL,FORENSIC,B2,C,6,HYBRID,PERIODIC,NCLT,Determines ITC recovery position post-resolution.,,
D5.01,C4.03,TAXPAYER_ADVANCE_RULING,Advance Ruling obtained by the taxpayer,D,D5,CONDITIONAL,BOTH,ALL,C,3,HYBRID,ONE_TIME,AAR_AUTHORITY,DUPLICATE — register lists this as C4.03 and D5.01 and states C4.03 is stored in D5. OVERRIDES corpus position for this taxpayer.,,
D5.02,,TARGETED_EXEMPTION_INSTRUMENT,Entity-specific targeted exemption instrument,D,D5,CONDITIONAL,BOTH,"A3,A10",C,3,HYBRID,ONE_TIME,GOVERNMENT_AUTHORITY,Two-part check — corpus notification C2.05 AND this instrument. BOTH required.,,
D5.03,,ENTITY_SPECIFIC_CBIC_CLARIFICATION,Entity-specific CBIC / jurisdictional officer clarification,D,D5,CONDITIONAL,BOTH,ALL,C,3,HYBRID,ONE_TIME,CBIC_JURISDICTIONAL,Not published. A defence instrument even if the general position later changed.,,
D5.04,,INVESTMENT_INCENTIVE_APPROVAL,Investment incentive scheme approval,D,D5,CONDITIONAL,BOTH,"A3,A10",C,3,HYBRID,ONE_TIME,STATE_GOVERNMENT,Scheme notification + individual approval + compliance conditions all required.,,
D5.05,,GST_PRACTITIONER_AUTHORISATION,GST Practitioner authorisation PCT-05,D,D5,CONDITIONAL,BOTH,ALL,C,3,HYBRID,ONE_TIME,GSTN_PORTAL,Establishes scope of authorised portal access. Relevant to the CA firm engagement model.,,
D5.06,B3.05,COURT_STAY_ORDER,Court / stay order specific to the taxpayer,D,D5,CONDITIONAL,BOTH,ALL,C,6,HYBRID,PERIODIC,COURT_REGISTRY,DUPLICATE — canonical row is B3.05.,,
D5.07,B3.04,AMNESTY_SETTLEMENT_ORDER,GST amnesty / settlement scheme certificate,D,D5,CONDITIONAL,FORENSIC,ALL,C,6,HYBRID,PERIODIC,GSTN_PORTAL,DUPLICATE — canonical row is B3.04.,,
